kode_politikus;politikus;kode_pendidikan;pendidikan
Q18421250;Ahmad Basarah;Q534515;Universitas Indonesia
Q18421250;Ahmad Basarah;Q4200627;Universitas Diponegoro
Q18421250;Ahmad Basarah;Q7894412;Universitas Kristen Indonesia
Q18421250;Ahmad Basarah;Q12486647;Institut Ilmu Sosial dan Ilmu Politik Jakarta
Q18421250;Ahmad Basarah;Q12510549;SMA Negeri 36 Jakarta
Q18421250;Ahmad Basarah;Q12523282;Universitas 17 Agustus 1945 Jakarta
Q18421250;Ahmad Basarah;Q12708495;SMPN 168 Jakarta
Q18421250;Ahmad Basarah;Q20460957;SD Negeri Pulogadung 2 Petang
Q137896159;Ahmad Dahlan;Q1145992;Universitas Gadjah Mada
Q49255433;Ahmad Doli Kurnia;Q1579397;Institut Teknologi Bandung
Q49255433;Ahmad Doli Kurnia;Q3181122;Universitas Padjadjaran
Q49255433;Ahmad Doli Kurnia;Q12510348;SMA Negeri 1 Medan
Q49255433;Ahmad Doli Kurnia;Q19739892;SMP Negeri 1 Medan
Q132671021;Ahmad Fadly;Q1145992;Universitas Gadjah Mada
Q132671021;Ahmad Fadly;Q12510277;SMA Negeri 1 Bukittinggi
Q132671021;Ahmad Fadly;Q121127078;SMP Negeri 1 Padang Panjang
Q132671021;Ahmad Fadly;Q123774044;SMP Negeri 1 Sitiung
Q16164615;Ahmad Hanafi Rais;Q1145992;Universitas Gadjah Mada
Q3745;Ahmad Heryawan;Q10862378;Lembaga Ilmu Pengetahuan Islam dan Arab
Q56398855;Ahmad Jajuli;Q6482697;Universitas Lampung
Q12470959;Ahmad Kanedi;Q7481592;Universitas Bengkulu
Q97308072;Ahmad Muhdlor Ali;Q1494353;Universitas Airlangga
Q16164694;Ahmad Mumtaz Rais;Q1145992;Universitas Gadjah Mada
Q18421363;Ahmad Muzani;Q12523329;Universitas Ibnu Khaldun
Q96989473;Ahmad Najib Qodratullah;Q25466592;SMP Negeri 3 Bandung
Q56511458;Ahmad Nizar Shihab;Q478044;Universitas Hasanuddin
Q56511458;Ahmad Nizar Shihab;Q534515;Universitas Indonesia
Q56511458;Ahmad Nizar Shihab;Q12510611;SMA Negeri 4 Makassar
Q12470965;Ahmad Riza Patria;Q1579397;Institut Teknologi Bandung
Q12470965;Ahmad Riza Patria;Q12486653;Institut Sains dan Teknologi Nasional
Q16164725;Ahmad Sahroni;Q12510187;SMA Negeri 114 Jakarta
Q16164725;Ahmad Sahroni;Q97572828;Sekolah Tinggi Ilmu Ekonomi Pelita Bangsa
Q16164725;Ahmad Sahroni;Q125034542;SMP Yappenda
Q12470972;Ahmad Syaikhu;Q6026203;Sekolah Tinggi Akuntansi Negara
Q4187362;Ahmad Tohari;Q6177417;Universitas Jenderal Soedirman
Q96989498;Ahmad Yohan;Q12523348;Universitas Islam Negeri Sunan Kalijaga Yogyakarta
Q65207982;Ahmad Zacky Siradj;Q12523349;Universitas Islam Negeri Syarif Hidayatullah Jakarta
Q16164839;Ahmad Zainuddin;Q10862378;Lembaga Ilmu Pengetahuan Islam dan Arab
Q16164901;Ahmadi Noor Supit;Q7894412;Universitas Kristen Indonesia
Q4200190;Ahmadun Yosi Herfanda;Q12523423;Universitas Paramadina
Q16164986;Aiman Witjaksono;Q534515;Universitas Indonesia
Q16165013;Airin Rachmi Diany;Q3181122;Universitas Padjadjaran
Q12471140;Airlangga Hartarto;Q319078;Universitas Melbourne
Q12471140;Airlangga Hartarto;Q598841;Universitas Monash
Q12471140;Airlangga Hartarto;Q1145992;Universitas Gadjah Mada
