politikus;kode_politikus
Acai Sumaedi;Q123868408
Acam;Q123887283
Acang Tamatae;Q123895222
Ace Toyib Bahtiar;Q123712000
Aceng Basir;Q123712046
Aceng Lahay;Q123891572
Aceng Malki;Q123879589
Aceng Roni Syahbana;Q123712070
Aceng Sukendar;Q123879548
Acep Djuhdiyana Wireja;Q123711578
Acep Edy Setiawan;Q123876866
Acep Jamaludin;Q123877984
Acep Suyatna;Q123879041
Acep Yusup;Q123878260
Ach. Faidy Suja`ie;Q123883460
Ach. Fauzi;Q123877064
Ach. Ghufron Sirodj;Q123713696
Ach. Ramliansyah;Q123887944
Achiar;Q123870838
Achmad;Q123872984
Achmad Aksar;Q123893380
Achmad Alfarius;Q123715589
Achmad Amin;Q123886184
Achmad Anis;Q123883490
