politikus;kode_politikus;partai;kode_partai
Abdul Gani Sangadji;Q123896248;Partai Golongan Karya;Q1536552
Abdul Ganing;Q123717063;Partai Amanat Nasional;Q2434365
Abdul Ghofar Ismail;Q123880799;Partai Keadilan Sejahtera;Q1511101
Abdul Ghofir;Q123876448;Partai Ummat;Q106255756
Abdul Ghoni;Q123713675;Partai Solidaritas Indonesia;Q23744654
Abdul Ghoni;Q123883931;Partai Gerakan Indonesia Raya;Q4261459
Abdul Giaz;Q123889025;Partai NasDem;Q4207219
Abdul Gofar;Q123868036;Partai Demokrat (Indonesia);Q1186227
Abdul Gopur;Q123712375;Partai Kebangkitan Bangsa;Q1257317
Abdul Gopur;Q123877711;Partai Amanat Nasional;Q2434365
Abdul Hadi;Q123715559;Partai Kebangkitan Nusantara;Q115754699
Abdul Hadi;Q123877243;Partai Kebangkitan Bangsa;Q1257317
Abdul Hadi;Q123886920;Partai Demokrat (Indonesia);Q1186227
Abdul Hadi;Q123888120;Partai Persatuan Pembangunan;Q2669302
Abdul Hadi;Q123887325;Partai Persatuan Pembangunan;Q2669302
Abdul Hadi Jamal;Q123893544;Partai Golongan Karya;Q1536552
Abdul Hady;Q123893385;Partai Golongan Karya;Q1536552
Abdul Hafid;Q123883361;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abdul Hafid;Q123887843;Partai Amanat Nasional;Q2434365
Abdul Hafid;Q123892107;Partai Gerakan Indonesia Raya;Q4261459
Abdul Hafid Baso;Q123716008;Partai Golongan Karya;Q1536552
Abdul Hafiz;Q123882117;Partai Garda Republik Indonesia;Q123553440
Abdul Hakam;Q123713983;Partai Demokrat (Indonesia);Q1186227
Abdul Hakam Husaam;Q123876079;Partai Keadilan Sejahtera;Q1511101
Abdul Hakim;Q123884327;Partai Kebangkitan Nusantara;Q115754699
Abdul Hakim;Q123894445;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Hakim Hidayat;Q123713890;Partai Persatuan Pembangunan;Q2669302
Abdul Hakim Mufid;Q123877721;Partai Demokrat (Indonesia);Q1186227
Abdul Halik;Q123893208;Partai Bulan Bintang;Q2915024
Abdul Halik Moka;Q123886432;Partai Bulan Bintang;Q2915024
Abdul Halil Hatala;Q123894926;Partai Amanat Nasional;Q2434365
Abdul Halim;Q123699688;Partai Kebangkitan Bangsa;Q1257317
Abdul Halim;Q123876165;Partai Gerakan Indonesia Raya;Q4261459
Abdul Halim;Q123884501;Partai Gerakan Indonesia Raya;Q4261459
Abdul Halim;Q123894414;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abdul Halim Tuhuteru;Q123895183;Partai Demokrat (Indonesia);Q1186227
Abdul Hamid;Q123867247;Partai Bulan Bintang;Q2915024
Abdul Hamid;Q123872876;Partai Golongan Karya;Q1536552
Abdul Hamid;Q123872969;Partai Kebangkitan Bangsa;Q1257317
Abdul Hamid;Q123881985;Partai Kebangkitan Bangsa;Q1257317
Abdul Hamid;Q123883290;Partai Hati Nurani Rakyat;Q4262041
Abdul Hamid Ali;Q123885305;Partai Persatuan Indonesia;Q19752495
Abdul Hamid Arief;Q123897119;Partai Kebangkitan Bangsa;Q1257317
Abdul Hamid Mahfudz;Q123883219;Partai Kebangkitan Bangsa;Q1257317
Abdul Hamid S;Q123893501;Partai Ummat;Q106255756
Abdul Hanan;Q123884850;Partai Bulan Bintang;Q2915024
Abdul Hanan;Q123885643;Partai Bulan Bintang;Q2915024
Abdul Hanan Majdy;Q123713505;Partai Persatuan Pembangunan;Q2669302
Abdul Hanib;Q123890050;Partai Golongan Karya;Q1536552
Abdul Hanif;Q123891177;Partai Keadilan Sejahtera;Q1511101
Abdul Hapid;Q123711310;Partai Kebangkitan Nusantara;Q115754699
Abdul Haris;Q123875107;Partai Persatuan Pembangunan;Q2669302
Abdul Haris;Q123892933;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Haris A. Engahu;Q123893959;Partai Golongan Karya;Q1536552
Abdul Haris Isa;Q123893752;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abdul Haris Lasimpara;Q123891204;Partai Amanat Nasional;Q2434365
Abdul Haris Mahmudi;Q123882802;Partai Garda Republik Indonesia;Q123553440
Abdul Haris Olii Abdul Kadir;Q123891357;Partai Persatuan Indonesia;Q19752495
Abdul Haris Sopiandi;Q123884946;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Haris Suhartony;Q123883141;Partai NasDem;Q4207219
Abdul Haris Tuanku Sati;Q123871205;Partai Kebangkitan Bangsa;Q1257317
Abdul Haris Werfete;Q123897604;Partai Golongan Karya;Q1536552
Abdul Harits;Q123886875;Partai Keadilan Sejahtera;Q1511101
Abdul Hasan Syafii;Q123890411;Partai Keadilan Sejahtera;Q1511101
Abdul Hatab;Q123885180;Partai NasDem;Q4207219
Abdul Hidayat;Q123879403;Partai Hati Nurani Rakyat;Q4262041
Abdul Holil;Q123883100;Partai Solidaritas Indonesia;Q23744654
Abdul Jabbar;Q123869499;Partai Kebangkitan Bangsa;Q1257317
Abdul Jalil;Q123875623;Partai Bulan Bintang;Q2915024
Abdul Jalil;Q123872996;Partai Golongan Karya;Q1536552
Abdul Jalil Pawara;Q123889940;Partai Garda Republik Indonesia;Q123553440
Abdul Jalil Ritonga;Q123869580;Partai Keadilan Sejahtera;Q1511101
Abdul Jamil;Q123882190;Partai Persatuan Pembangunan;Q2669302
Abdul Kadir;Q123716202;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Kadir;Q123872002;Partai Amanat Nasional;Q2434365
Abdul Kadir;Q123874155;Partai Bulan Bintang;Q2915024
Abdul Kadir;Q123891905;Partai NasDem;Q4207219
Abdul Kadir Husain Daing Hussin;Q123711559;Partai NasDem;Q4207219
Abdul Kadir Jailani;Q123884454;Partai Bulan Bintang;Q2915024
Abdul Kadir Jailani;Q123892253;Partai Golongan Karya;Q1536552
Abdul Kahar Muslim;Q123892380;Partai Demokrat (Indonesia);Q1186227
Abdul Kaher;Q123873079;Partai Ummat;Q106255756
Abdul Kahfi;Q123715595;Partai Bulan Bintang;Q2915024
Abdul Karim;Q123872590;Partai Bulan Bintang;Q2915024
Abdul Karim;Q123878350;Partai Gerakan Indonesia Raya;Q4261459
Abdul Karim;Q123884662;Partai NasDem;Q4207219
Abdul Karim;Q123898582;Partai Keadilan Sejahtera;Q1511101
Abdul Karim Aljufri;Q123891703;Partai Gerakan Indonesia Raya;Q4261459
Abdul Karim Anggiluli;Q123717007;Partai Keadilan Sejahtera;Q1511101
Abdul Karim Gito;Q123865796;Partai Golongan Karya;Q1536552
Abdul Karim Kaliky;Q123895294;Partai Golongan Karya;Q1536552
Abdul Karim Nashir Amrullah;Q123712727;Partai Buruh;Q4203001
Abdul Karim Rahanar;Q123714261;Partai Gerakan Indonesia Raya;Q4261459
Abdul Karim Wasaraka;Q123717177;Partai Keadilan Sejahtera;Q1511101
Abdul Kasim;Q123871968;Partai Keadilan Sejahtera;Q1511101
Abdul Kelilauw;Q123895236;Partai NasDem;Q4207219
Abdul Khair;Q123870602;Partai NasDem;Q4207219
Abdul Khalid;Q123882865;Partai Kebangkitan Bangsa;Q1257317
Abdul Khayir;Q123885395;Partai Keadilan Sejahtera;Q1511101
Abdul Kholik;Q123867905;Partai Keadilan Sejahtera;Q1511101
Abdul Kholik;Q123872687;Partai Keadilan Sejahtera;Q1511101
Abdul Kholik;Q123874947;Partai NasDem;Q4207219
Abdul Kholis;Q123877782;Partai Kebangkitan Bangsa;Q1257317
Abdul Latif;Q123890057;Partai NasDem;Q4207219
Abdul Latif Somad;Q123875234;Partai Golongan Karya;Q1536552
Abdul Majid;Q123871722;Partai Persatuan Pembangunan;Q2669302
Abdul Majid;Q123872621;Partai Persatuan Pembangunan;Q2669302
Abdul Malik;Q123867429;Partai Kebangkitan Bangsa;Q1257317
Abdul Malik;Q123868236;Partai Hati Nurani Rakyat;Q4262041
Abdul Malik;Q123874265;Partai Amanat Nasional;Q2434365
Abdul Malik Ditu;Q123893260;Partai Gerakan Indonesia Raya;Q4261459
Abdul Malik Jaelani;Q123885074;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Malik Maulana;Q123881872;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Malik Mokodompit;Q123890682;Partai Kebangkitan Bangsa;Q1257317
Abdul Malik Rumalutur;Q123897955;Partai Keadilan Sejahtera;Q1511101
Abdul Malik Sillia;Q123896224;Partai Kebangkitan Bangsa;Q1257317
Abdul Maliq;Q123875875;Partai Kebangkitan Bangsa;Q1257317
Abdul Maman Sukatma;Q123879228;Partai Kebangkitan Nusantara;Q115754699
Abdul Manaf Muhammad;Q123895846;Partai Keadilan Sejahtera;Q1511101
Abdul Manan Nasution;Q123714736;Partai NasDem;Q4207219
Abdul Merry;Q123888814;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Mu'is;Q123879966;Partai Persatuan Pembangunan;Q2669302
Abdul Muaz Abdullah;Q123894428;Partai Golongan Karya;Q1536552
Abdul Muhith Murtadlo;Q123876336;Partai Keadilan Sejahtera;Q1511101
Abdul Muhshi;Q123888606;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Muid Fabanyo;Q123896502;Partai Golongan Karya;Q1536552
Abdul Muin;Q123876238;Partai Keadilan Sejahtera;Q1511101
Abdul Muin Djalaluddin;Q123892711;Partai Gerakan Indonesia Raya;Q4261459
Abdul Muin Pulungan;Q123714837;Partai Kebangkitan Bangsa;Q1257317
Abdul Muin Sakali;Q123893834;Partai Persatuan Pembangunan;Q2669302
Abdul Muis;Q123715576;Partai Garda Republik Indonesia;Q123553440
Abdul Muis;Q123894538;Partai Amanat Nasional;Q2434365
Abdul Muis Syam;Q123893809;Partai Bulan Bintang;Q2915024
Abdul Muiz;Q123711305;Partai Keadilan Sejahtera;Q1511101
Abdul Mujib Pasdak;Q123711209;Partai Kebangkitan Nusantara;Q115754699
Abdul Mukti;Q123875844;Partai Amanat Nasional;Q2434365
Abdul Munajat;Q123892983;Partai Bulan Bintang;Q2915024
Abdul Munasib;Q123710646;Partai Hati Nurani Rakyat;Q4262041
Abdul Munsir Zainuddin;Q123889622;Partai Hati Nurani Rakyat;Q4262041
Abdul Mupid;Q123876736;Partai Persatuan Pembangunan;Q2669302
Abdul Murat;Q123890016;Partai Kebangkitan Bangsa;Q1257317
Abdul Mutalib;Q123873063;Partai Persatuan Indonesia;Q19752495
Abdul Mutalib Wakan;Q123895207;Partai Persatuan Pembangunan;Q2669302
Abdul Muthalib Kaisupy;Q123895276;Partai Kebangkitan Bangsa;Q1257317
Abdul Napitu;Q123890320;Partai Amanat Nasional;Q2434365
Abdul Natsir;Q123879735;Partai Hati Nurani Rakyat;Q4262041
Abdul Oir;Q123878604;Partai Buruh;Q4203001
Abdul Qodir;Q123877843;Partai Buruh;Q4203001
Abdul Qodir;Q123879880;Partai Gerakan Indonesia Raya;Q4261459
Abdul Rachmat Noer;Q123716433;Partai Demokrat (Indonesia);Q1186227
Abdul Rahim;Q123714461;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Rahim;Q123716352;Partai Ummat;Q106255756
Abdul Rahim;Q123870870;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abdul Rahim;Q123885141;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abdul Rahim;Q123893432;Partai Kebangkitan Nusantara;Q115754699
Abdul Rahim;Q123894513;Partai NasDem;Q4207219
Abdul Rahim;Q123892112;Partai Gerakan Indonesia Raya;Q4261459
Abdul Rahim G.;Q123896602;Partai Persatuan Pembangunan;Q2669302
Abdul Rahim Letsoin;Q123895391;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Rahim Patamasya;Q123897505;Partai NasDem;Q4207219
Abdul Rahim Siregar;Q123870075;Partai Keadilan Sejahtera;Q1511101
Abdul Rahman;Q123712306;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Rahman;Q123715855;Partai Buruh;Q4203001
Abdul Rahman;Q123870371;Partai Kebangkitan Bangsa;Q1257317
Abdul Rahman;Q123872620;Partai Persatuan Pembangunan;Q2669302
Abdul Rahman;Q123872949;Partai Persatuan Indonesia;Q19752495
Abdul Rahman;Q123872963;Partai Ummat;Q106255756
Abdul Rahman;Q123875695;Partai Hati Nurani Rakyat;Q4262041
Abdul Rahman;Q123875944;Partai Keadilan Sejahtera;Q1511101
Abdul Rahman;Q123885292;Partai Bulan Bintang;Q2915024
Abdul Rahman;Q123883585;Partai Persatuan Indonesia;Q19752495
Abdul Rahman;Q123886519;Partai Keadilan Sejahtera;Q1511101
Abdul Rahman;Q123889705;Partai NasDem;Q4207219
Abdul Rahman;Q123890070;Partai Buruh;Q4203001
Abdul Rahman;Q123890110;Partai Amanat Nasional;Q2434365
Abdul Rahman;Q123891733;Partai NasDem;Q4207219
Abdul Rahman;Q123891782;Partai Hati Nurani Rakyat;Q4262041
Abdul Rahman;Q123894530;Partai Keadilan Sejahtera;Q1511101
Abdul Rahman;Q123892272;Partai Keadilan Sejahtera;Q1511101
Abdul Rahman Agus;Q123889625;Partai Amanat Nasional;Q2434365
Abdul Rahman Atan;Q123871940;Partai Golongan Karya;Q1536552
Abdul Rahman Hasan;Q123890548;Partai Keadilan Sejahtera;Q1511101
Abdul Rahman Made;Q123716724;Partai Amanat Nasional;Q2434365
Abdul Rahman N;Q123716443;Partai Persatuan Indonesia;Q19752495
Abdul Rahman Sulistiyo;Q123869828;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Rajak Hak;Q123710599;Partai Persatuan Pembangunan;Q2669302
Abdul Rakhman Bolong;Q123889445;Partai Gerakan Indonesia Raya;Q4261459
Abdul Rasak;Q123893114;Partai Persatuan Pembangunan;Q2669302
Abdul Rasyid;Q123713689;Partai Ummat;Q106255756
Abdul Rasyid;Q123870709;Partai Ummat;Q106255756
Abdul Rasyid;Q123886873;Partai Keadilan Sejahtera;Q1511101
Abdul Rasyid;Q123887752;Partai Ummat;Q106255756
Abdul Rasyid Baharuddin;Q123875855;Partai Demokrat (Indonesia);Q1186227
Abdul Rasyid Saliman;Q123875205;Partai Persatuan Pembangunan;Q2669302
Abdul Rasyid Samberbory;Q123896763;Partai Kebangkitan Bangsa;Q1257317
Abdul Rasyid Zaenal;Q123884759;Partai Golongan Karya;Q1536552
Abdul Rauf;Q123710181;Partai Kebangkitan Bangsa;Q1257317
Abdul Rauf;Q123885447;Partai Demokrat (Indonesia);Q1186227
Abdul Rauf;Q123890415;Partai Keadilan Sejahtera;Q1511101
Abdul Rauf Dewang;Q123892943;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Rauf Rahim;Q123892895;Partai Gerakan Indonesia Raya;Q4261459
Abdul Razak;Q123888858;Partai Persatuan Indonesia;Q19752495
Abdul Ridwan Yazid;Q123712194;Partai Persatuan Pembangunan;Q2669302
Abdul Rihan;Q123867177;Partai Amanat Nasional;Q2434365
Abdul Rochim;Q123713394;Partai Kebangkitan Bangsa;Q1257317
Abdul Rochim;Q123715182;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Rochman;Q123714210;Partai Bulan Bintang;Q2915024
Abdul Rofik;Q123889041;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Rohim;Q123713761;Partai Bulan Bintang;Q2915024
Abdul Rohim;Q123878710;Partai Persatuan Pembangunan;Q2669302
Abdul Rohman;Q123867661;Partai Keadilan Sejahtera;Q1511101
Abdul Rohman;Q123879321;Partai Kebangkitan Bangsa;Q1257317
Abdul Rokhim;Q123714420;Partai Ummat;Q106255756
Abdul Rouf;Q123880335;Partai NasDem;Q4207219
Abdul Rozak;Q123872416;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Salam;Q123877580;Partai Persatuan Pembangunan;Q2669302
Abdul Salam Sahadia;Q123893321;Partai Demokrat (Indonesia);Q1186227
Abdul Salam Tuanku Bungsu;Q123870932;Partai Ummat;Q106255756
Abdul Salim;Q123877834;Partai NasDem;Q4207219
Abdul Samad;Q123889807;Partai Persatuan Indonesia;Q19752495
Abdul Samad Lukman;Q123886401;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Sani;Q123888983;Partai Kebangkitan Bangsa;Q1257317
Abdul Sani Simin;Q123716928;Partai Garda Republik Indonesia;Q123553440
Abdul Shobur;Q123715358;Partai Ummat;Q106255756
Abdul Sigit;Q123893690;Partai Hati Nurani Rakyat;Q4262041
Abdul Syukur;Q123887908;Partai Kebangkitan Bangsa;Q1257317
Abdul Syukur M. Dapubeang;Q123885679;Partai Kebangkitan Bangsa;Q1257317
Abdul Talib Mustafa;Q123716369;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abdul Wachid Muin;Q123884322;Partai Keadilan Sejahtera;Q1511101
Abdul Wadud;Q123868027;Partai Amanat Nasional;Q2434365
Abdul Wahab;Q123884120;Partai Buruh;Q4203001
Abdul Wahab A. Hida;Q123894041;Partai Kebangkitan Bangsa;Q1257317
Abdul Wahab Hudodo;Q123890764;Partai Amanat Nasional;Q2434365
Abdul Wahab Suneth;Q123716893;Partai Bulan Bintang;Q2915024
Abdul Wahid;Q123884899;Partai Kebangkitan Bangsa;Q1257317
Abdul Wahid Azar;Q123714318;Partai Demokrat (Indonesia);Q1186227
Abdul Wahid Ibrahim;Q123890438;Partai Amanat Nasional;Q2434365
Abdul Wazid;Q123885019;Partai Persatuan Indonesia;Q19752495
Abdulah Aminudin;Q123880271;Partai Kebangkitan Bangsa;Q1257317
Abdulah Faizin;Q123884351;Partai Demokrat (Indonesia);Q1186227
Abdulah Tuankotta;Q123895198;Partai Persatuan Indonesia;Q19752495
Abdull Azis Deny Latif;Q123894172;Partai Amanat Nasional;Q2434365
Abdullah;Q123866246;Partai Hati Nurani Rakyat;Q4262041
Abdullah;Q123866306;Partai Gerakan Indonesia Raya;Q4261459
Abdullah;Q123872104;Partai Keadilan Sejahtera;Q1511101
Abdullah;Q123882773;Partai Golongan Karya;Q1536552
Abdullah;Q123885397;Partai Keadilan Sejahtera;Q1511101
Abdullah A. Hanubun;Q123895374;Partai Golongan Karya;Q1536552
Abdullah Aa;Q123880763;Partai NasDem;Q4207219
Abdullah Abbas;Q123867008;Partai Bulan Bintang;Q2915024
Abdullah Apa;Q123886437;Partai Demokrat (Indonesia);Q1186227
Abdullah Asis Sangkala;Q123895121;Partai Keadilan Sejahtera;Q1511101
Abdullah Awing;Q123716456;Partai Ummat;Q106255756
Abdullah Djafar Abbas;Q123896118;Partai Buruh;Q4203001
Abdullah Fadri Auli;Q123874888;Partai Ummat;Q106255756
Abdullah Hanafiah;Q123865910;Partai Gerakan Indonesia Raya;Q4261459
Abdullah Hasanuddin;Q123891752;Partai Gelombang Rakyat Indonesia;Q97016042
Abdullah Hatari;Q123895962;Partai NasDem;Q4207219
Abdullah Lasadja;Q123897606;Partai NasDem;Q4207219
Abdullah Lou;Q123716073;Partai Persatuan Pembangunan;Q2669302
Abdullah Marasabessy;Q123895219;Partai Ummat;Q106255756
Abdullah Mas'ud Al Akhyari;Q123714058;Partai Gelombang Rakyat Indonesia;Q97016042
Abdullah Muhdi;Q123884206;Partai Kebangkitan Bangsa;Q1257317
Abdullah Muis Ely;Q123895217;Partai Ummat;Q106255756
Abdullah Nagaring;Q123893784;Partai Kebangkitan Nusantara;Q115754699
Abdullah Nasution;Q123869718;Partai Gelombang Rakyat Indonesia;Q97016042
Abdullah P. Ulumando;Q123716140;Partai Amanat Nasional;Q2434365
Abdullah Rahman;Q123891367;Partai Ummat;Q106255756
Abdullah Said;Q123883515;Partai Gelombang Rakyat Indonesia;Q97016042
Abdullah Said;Q123893951;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abdullah Samsudin Tajudin;Q123897754;Partai Kebangkitan Nusantara;Q115754699
Abdullah Sura Jaya;Q123874965;Partai Amanat Nasional;Q2434365
Abdullah Tansa;Q123891413;Partai NasDem;Q4207219
Abdullah Taufik;Q123873089;Partai Gerakan Indonesia Raya;Q4261459
Abdullah Uwais Alatas;Q123710661;Partai Amanat Nasional;Q2434365
Abdullah Yazid;Q123713904;Partai Kebangkitan Bangsa;Q1257317
Abdulloh;Q123889200;Partai Golongan Karya;Q1536552
Abdulloh Hadi Sasmito;Q123714134;Partai Gerakan Indonesia Raya;Q4261459
Abdulrahman;Q123886053;Partai Ummat;Q106255756
Abdur Rasidin;Q123866778;Partai Buruh;Q4203001
Abdur Razaq;Q123886995;Partai Keadilan Sejahtera;Q1511101
Abdur Rohim Arif;Q123879107;Partai Amanat Nasional;Q2434365
Abdur Rohman;Q123883528;Partai Keadilan Sejahtera;Q1511101
Abdur Rokhman Said;Q123714130;Partai Kebangkitan Bangsa;Q1257317
Abdurachman;Q123887127;Partai Demokrat (Indonesia);Q1186227
Abdurahman;Q123868061;Partai Persatuan Pembangunan;Q2669302
Abdurahman;Q123888090;Partai Bulan Bintang;Q2915024
Abdurahman Antu;Q123893742;Partai Gerakan Indonesia Raya;Q4261459
Abdurahman Ka.;Q123889316;Partai Kebangkitan Bangsa;Q1257317
Abdurahman Rahmola;Q123894275;Partai Amanat Nasional;Q2434365
Abdurahmat Monoarfa;Q123894267;Partai Kebangkitan Nusantara;Q115754699
Abdurakhman;Q123883368;Partai Golongan Karya;Q1536552
Abdurasid Wokanubun;Q123894862;Partai NasDem;Q4207219
Abdurauf Pelu;Q123895117;Partai Gelombang Rakyat Indonesia;Q97016042
Abdurohman;Q123868466;Partai Persatuan Pembangunan;Q2669302
Abdurrachim Santosa;Q123878173;Partai Gelombang Rakyat Indonesia;Q97016042
Abdurrachman;Q123699716;Partai Keadilan Sejahtera;Q1511101
Abdurrachman;Q123884605;Partai Demokrat (Indonesia);Q1186227
Abdurraham;Q123890297;Partai Keadilan Sejahtera;Q1511101
Abdurrahman;Q123710746;Partai Persatuan Pembangunan;Q2669302
Abdurrahman;Q123875859;Partai Solidaritas Indonesia;Q23744654
Abdurrahman;Q123873173;Partai Ummat;Q106255756
Abdurrahman Ahmad;Q123865767;Partai Gerakan Indonesia Raya;Q4261459
Abdurrahman Aspuri;Q123869145;Partai Gelombang Rakyat Indonesia;Q97016042
Abdurrahman Hamzah;Q123896109;Partai NasDem;Q4207219
Abdurrahman Tarsali Pratomo;Q123879416;Partai Amanat Nasional;Q2434365
Abdurrani;Q123887350;Partai Gerakan Indonesia Raya;Q4261459
Abdurrasyid;Q123884948;Partai Gelombang Rakyat Indonesia;Q97016042
Abdurrazak;Q123884984;Partai Amanat Nasional;Q2434365
Abdurrokhim;Q123878628;Partai Keadilan Sejahtera;Q1511101
Abdurrosyid Razak;Q123884684;Partai Hati Nurani Rakyat;Q4262041
Abdurrouf;Q123886894;Partai Hati Nurani Rakyat;Q4262041
Abdus Salam;Q123713994;Partai Solidaritas Indonesia;Q23744654
Abdus Somad;Q123868311;Partai Ummat;Q106255756
Abdussalam;Q123889152;Partai Persatuan Pembangunan;Q2669302
Abdussatar Khalil;Q123715926;Partai Gelombang Rakyat Indonesia;Q97016042
Abdussukur Kaliky;Q123895279;Partai Kebangkitan Bangsa;Q1257317
Abdusy Syahid;Q123868759;Partai Persatuan Pembangunan;Q2669302
Abdy Irawan;Q123875244;Partai Keadilan Sejahtera;Q1511101
Abdy Yuhana;Q123711773;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abed;Q123891777;Partai Hati Nurani Rakyat;Q4262041
Abed Nego Simanjuntak;Q123889480;Partai NasDem;Q4207219
Abel Wayap;Q123898106;Partai Golongan Karya;Q1536552
Abena Kogoya;Q123898997;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abes Serabut;Q123899474;Partai Buruh;Q4203001
Abgar Restu Adji;Q123717100;Partai Garda Republik Indonesia;Q123553440
Abi Ichwanudin;Q123876657;Partai Gelombang Rakyat Indonesia;Q97016042
Abi Krisma Wicaksono;Q123883957;Partai Golongan Karya;Q1536552
Abi Munawir Al Madani;Q123876320;Partai Buruh;Q4203001
Abi Rahmat Rizki;Q123873735;Partai Persatuan Pembangunan;Q2669302
Abia;Q123890175;Partai Gerakan Indonesia Raya;Q4261459
Abia Ullu;Q123897166;Partai NasDem;Q4207219
Abidah;Q123872857;Partai Gerakan Indonesia Raya;Q4261459
Abidah Syamilah;Q123893068;Partai Keadilan Sejahtera;Q1511101
Abidillah Effendi;Q123881668;Partai Amanat Nasional;Q2434365
Abidin;Q123879490;Partai Gerakan Indonesia Raya;Q4261459
Abidin Nasar;Q123716022;Partai Keadilan Sejahtera;Q1511101
Abiding Slamet;Q123893644;Partai Kebangkitan Bangsa;Q1257317
Abil Toriq Syahputra;Q123892700;Partai Kebangkitan Bangsa;Q1257317
Abim Andoka Aripin S;Q123874693;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abim Mustiandi;Q123875546;Partai Persatuan Pembangunan;Q2669302
Abius You;Q123898762;Partai Keadilan Sejahtera;Q1511101
Abiut Rabrageri;Q123898477;Partai Kebangkitan Nusantara;Q115754699
Abiyan Hamam Faradish;Q123713716;Partai NasDem;Q4207219
Abizar;Q123874618;Partai Keadilan Sejahtera;Q1511101
Abjan Raja;Q123895669;Partai Hati Nurani Rakyat;Q4262041
Abner Mambrasar;Q123896910;Partai Keadilan Sejahtera;Q1511101
Abner Nones;Q123895895;Partai Solidaritas Indonesia;Q23744654
Abner Paulus Beruatwarin;Q123895357;Partai Gerakan Indonesia Raya;Q4261459
Abner Timisela;Q123894851;Partai Golongan Karya;Q1536552
Abner Timisela;Q123894865;Partai NasDem;Q4207219
Abner Wetipo;Q123896547;Partai Hati Nurani Rakyat;Q4262041
Aboel Hasan Felayati;Q123876991;Partai Kebangkitan Nusantara;Q115754699
Abola Kogoya;Q123899093;Partai Kebangkitan Nusantara;Q115754699
Abon Usman M.A;Q123865866;Partai Demokrat (Indonesia);Q1186227
Abraham;Q123891845;Partai Persatuan Indonesia;Q19752495
Abraham;Q123893165;Partai NasDem;Q4207219
Abraham Garuda Laksono;Q123867869;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abraham George Tanaty;Q123896954;Partai Demokrat (Indonesia);Q1186227
Abraham Hermanus Abisay;Q123896741;Partai Persatuan Indonesia;Q19752495
