kodeId:ID,nama,:LABEL
Q123884501,Abdul Halim,Politikus
Q123894414,Abdul Halim,Politikus
Q123895183,Abdul Halim Tuhuteru,Politikus
Q123725918,,Politikus
Q123867247,Abdul Hamid,Politikus
Q123872876,Abdul Hamid,Politikus
Q123872969,Abdul Hamid,Politikus
Q123881985,Abdul Hamid,Politikus
Q123883290,Abdul Hamid,Politikus
Q123885305,Abdul Hamid Ali,Politikus
Q123897119,Abdul Hamid Arief,Politikus
Q123883219,Abdul Hamid Mahfudz,Politikus
Q123893501,Abdul Hamid S,Politikus
Q123885643,Abdul Hanan,Politikus
Q123884850,Abdul Hanan,Politikus
Q123713505,Abdul Hanan Majdy,Politikus
Q123890050,Abdul Hanib,Politikus
Q123891177,Abdul Hanif,Politikus
Q123711310,Abdul Hapid,Politikus
Q123875107,Abdul Haris,Politikus
Q123892933,Abdul Haris,Politikus
Q123893959,Abdul Haris A. Engahu,Politikus
Q123893752,Abdul Haris Isa,Politikus
Q123891204,Abdul Haris Lasimpara,Politikus
Q123882802,Abdul Haris Mahmudi,Politikus
Q123891357,Abdul Haris Olii Abdul Kadir,Politikus
Q123884946,Abdul Haris Sopiandi,Politikus
Q123883141,Abdul Haris Suhartony,Politikus
Q123871205,Abdul Haris Tuanku Sati,Politikus
Q123897604,Abdul Haris Werfete,Politikus
Q123886875,Abdul Harits,Politikus
Q123890411,Abdul Hasan Syafii,Politikus
Q123885180,Abdul Hatab,Politikus
Q123879403,Abdul Hidayat,Politikus
Q123883100,Abdul Holil,Politikus
Q123869499,Abdul Jabbar,Politikus
Q123726179,,Politikus
Q123872996,Abdul Jalil,Politikus
Q123875623,Abdul Jalil,Politikus
Q123889940,Abdul Jalil Pawara,Politikus
Q123869580,Abdul Jalil Ritonga,Politikus
Q123882190,Abdul Jamil,Politikus
Q123726332,,Politikus
Q123716202,Abdul Kadir,Politikus
Q123872002,Abdul Kadir,Politikus
Q123874155,Abdul Kadir,Politikus
Q123891905,Abdul Kadir,Politikus
Q123711559,Abdul Kadir Husain Daing Hussin,Politikus
Q123884454,Abdul Kadir Jailani,Politikus
Q123892253,Abdul Kadir Jailani,Politikus
Q123892380,Abdul Kahar Muslim,Politikus
Q123873079,Abdul Kaher,Politikus
Q123715595,Abdul Kahfi,Politikus
Q123872590,Abdul Karim,Politikus
Q123878350,Abdul Karim,Politikus
Q123884662,Abdul Karim,Politikus
Q123898582,Abdul Karim,Politikus
Q123891703,Abdul Karim Aljufri,Politikus
Q123717007,Abdul Karim Anggiluli,Politikus
Q123865796,Abdul Karim Gito,Politikus
Q123895294,Abdul Karim Kaliky,Politikus
Q123712727,Abdul Karim Nashir Amrullah,Politikus
Q123714261,Abdul Karim Rahanar,Politikus
Q123717177,Abdul Karim Wasaraka,Politikus
Q123871968,Abdul Kasim,Politikus
Q123895236,Abdul Kelilauw,Politikus
Q123870602,Abdul Khair,Politikus
Q123882865,Abdul Khalid,Politikus
Q123726082,,Politikus
