kodeId:ID,nama,:LABEL
Q109919422,STIE Pengembangan Bisnis Dan Manajemen,Pendidikan
Q97570094,STIE dan STMIK Jayakarta,Pendidikan
Q12511291,STIE-IPWI Jakarta,Pendidikan
Q109921869,STISIP Tasikmalaya,Pendidikan
Q97577617,STM IMMI,Pendidikan
Q1934491,STOVIA,Pendidikan
Q124313841,School Tot Opleiding van Indische Tandartsen,Pendidikan
Q220144,School of Oriental and African Studies,Pendidikan
Q49126,Sekolah Bisnis Universitas Harvard,Pendidikan
Q28724699,Sekolah Inspektur Polisi Sumber Sarjana,Pendidikan
Q109432842,Sekolah Menengah Atas BOPKRI 1 Yogyakarta,Pendidikan
Q108873634,Sekolah Menengah Atas PGRI 2 Denpasar,Pendidikan
Q7100286,Sekolah Menengah Orchid Park,Pendidikan
Q49127,Sekolah Pemerintahan John F. Kennedy,Pendidikan
Q1111367,Sekolah Pertambangan Colorado,Pendidikan
Q7308519,Sekolah Regina Pacis,Pendidikan
Q12513038,Sekolah Staf dan Komando Angkatan Darat,Pendidikan
Q6026203,Sekolah Tinggi Akuntansi Negara,Pendidikan
Q12511290,Sekolah Tinggi Bahasa Asing Malang,Pendidikan
Q12513061,Sekolah Tinggi Filsafat Driyarkara Jakarta,Pendidikan
Q31129606,Sekolah Tinggi Filsafat Katolik Ledalero,Pendidikan
Q109911978,Sekolah Tinggi Hukum Indonesia Jakarta,Pendidikan
Q109913497,Sekolah Tinggi Ilmu Administrasi Bengkulu,Pendidikan
Q12513063,Sekolah Tinggi Ilmu Administrasi Bina Banua,Pendidikan
Q104633597,Sekolah Tinggi Ilmu Administrasi Malang,Pendidikan
Q19732714,Sekolah Tinggi Ilmu Administrasi Mandala Indonesia,Pendidikan
Q97577624,Sekolah Tinggi Ilmu Ekonomi Ganesha,Pendidikan
Q109912135,Sekolah Tinggi Ilmu Ekonomi KBP,Pendidikan
